name,url,state,court_type,category,notes
Judge Ramon E. Reyes Jr.,https://www.nyed.uscourts.gov/district-judge-ramon-e-reyes-jr,NY,federal,all,Group: NY USDC - Eastern District Judges
Superior Courts - Local Rules,https://www.azcourts.gov/rules/RecentAmendments/MoreRules/LocalRulesofPracticefortheSuperiorCourts.aspx,AZ,state,all,Group: AZ Superior Courts
Superior Courts - Home Page,https://www.azcourts.gov/AZ-Courts/Superior-Court,AZ,state,all,Group: AZ Superior Courts
Maricopa - Home Page (News),https://superiorcourt.maricopa.gov/,AZ,state,all,Group: AZ Superior Courts
Maricopa - Holiday Schedule,https://superiorcourt.maricopa.gov/resources/court-holiday-schedule/,AZ,state,all,Group: AZ Superior Courts
Pima - Home Page (News),https://www.sc.pima.gov/,AZ,state,all,Group: AZ Superior Courts
Pima - FASTAR Rules,https://www.sc.pima.gov/judges-courts/civil-court/fastar/,AZ,state,all,Group: AZ Superior Courts
Cochise - Administrative Orders,https://www.cochise.az.gov/Archive.aspx?AMID=36,AZ,state,all,Group: AZ Superior Courts
Cochise - Home Page (News),https://www.cochise.az.gov/,AZ,state,all,Group: AZ Superior Courts
Pima - Holiday Schedule,https://www.sc.pima.gov/general-information,AZ,state,all,Group: AZ Superior Courts
Pinal - Home Page (News),https://www.pinalcourtsaz.gov/,AZ,state,all,Group: AZ Superior Courts
Gila - Home Page (News),https://www.gilacountyaz.gov/government/courts/index.php,AZ,state,all,Group: AZ Superior Courts
Graham - Home Page (News),https://www.graham.az.gov/184/Courts-Judicial,AZ,state,all,Group: AZ Superior Courts
District Judge Charles R. Breyer - Standing Orders,https://www.cand.uscourts.gov/judges/breyer-charles-r-crb/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Edward M. Chen - Standing Orders,https://www.cand.uscourts.gov/judges/chen-edward-m-emc/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Maxine M. Chesney - Standing Orders,https://www.cand.uscourts.gov/judges/chesney-maxine-m-mmc/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Vince Chhabria - Standing Orders,https://www.cand.uscourts.gov/judges/chhabria-vince-vc/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Jacqueline Scott Corley - Standing Orders,https://www.cand.uscourts.gov/judges/corley-jacqueline-scott-jsc/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge James Donato - Standing Orders,https://www.cand.uscourts.gov/judges/donato-james-jd/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Susan Illston - Standing Orders,https://www.cand.uscourts.gov/judges/illston-susan-si/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge William H. Orrick - Standing Orders,https://www.cand.uscourts.gov/judges/orrick-william-h-who/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Richard Seeborg - Standing Orders,https://www.cand.uscourts.gov/judges/seeborg-richard-rs/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Trina L. Thompson - Standing Orders,https://www.cand.uscourts.gov/judges/trina-l-thompson-tlt/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Laurel Beeler - Standing Orders,https://www.cand.uscourts.gov/judges/beeler-laurel-lb/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Lisa J. Cisneros - Standing Orders,https://www.cand.uscourts.gov/judges/lisa-j-cisneros-ljc/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Thomas S. Hixson - Standing Orders,https://www.cand.uscourts.gov/judges/hixson-thomas-s-tsh/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Peter H. Kang - Standing Orders,https://www.cand.uscourts.gov/judges/peter-h-kang-phk/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Sallie Kim - Standing Orders,https://www.cand.uscourts.gov/judges/kim-sallie-sk/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Joseph C. Spero - Standing Orders,https://www.cand.uscourts.gov/judges/spero-joseph-c-jcs/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Alex G. Tse - Standing Orders,https://www.cand.uscourts.gov/judges/tse-alex-g-agt/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Robert M. Illman - Standing Orders,https://www.cand.uscourts.gov/judges/illman-robert-m-rmi/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Kandis A. Westmore - Standing Orders,https://www.cand.uscourts.gov/judges/westmore-kandis-a-kaw/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Nathanael Cousins -Standing Orders,https://www.cand.uscourts.gov/judges/cousins-nathanael-nc/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Virginia K. DeMarchi - Standing Orders,https://www.cand.uscourts.gov/judges/demarchi-virginia-vkd/,CA,federal,all,Group: CA USDC - Northern District Judges
Magistrate Judge Susan van Keulen - Standing Orders,https://www.cand.uscourts.gov/judges/van-keulen-susan-svk/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Rita F. Lin - Standing Orders,https://www.cand.uscourts.gov/judges/lin-rita-f-rfl/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Araceli Martinez-Olguin - Standing Orders,https://www.cand.uscourts.gov/judges/martinez-olguin-araceli-amo/,CA,federal,all,Group: CA USDC - Northern District Judges
"District Judge Haywood S. Gilliam, Jr. - Standing Orders",https://www.cand.uscourts.gov/judges/gilliam-haywood-s-hsg/,CA,federal,all,Group: CA USDC - Northern District Judges
